Year-Month,Windows 8,Windows XP,Windows 10,Windows Vista,Windows 7,Linux,iOS
2003-01,0%,17.42%,0%,0%,0%,0.08%,0.06%
2003-02,0%,18.78%,0%,0%,0%,0.08%,0.06%
2003-03,0%,20.52%,0%,0%,0%,0.08%,0.06%
2003-04,0%,21.94%,0%,0%,0%,0.08%,0.07%
2003-05,0%,23.38%,0%,0%,0%,0.08%,0.07%
2003-06,0%,24.53%,0%,0%,0%,0.11%,0.07%
2003-07,0%,26.52%,0%,0%,0%,0.11%,0.07%
2003-08,0%,28.15%,0%,0%,0%,0.14%,0.08%
2003-09,0%,30.03%,0%,0%,0%,0.15%,0.08%
2003-10,0%,32.78%,0%,0%,0%,0.22%,0.07%
2003-11,0%,33.54%,0%,0%,0%,0.24%,0.06%
2003-12,0%,35.34%,0%,0%,0%,0.12%,0.06%
2004-01,0%,37.59%,0%,0%,0%,0.08%,0.06%
2004-02,0%,39.09%,0%,0%,0%,0.13%,0.07%
2004-03,0%,41.12%,0%,0%,0%,0.13%,0.07%
2004-04,0%,44.04%,0%,0%,0%,0.13%,0.08%
2004-05,0%,45.34%,0%,0%,0%,0.09%,0.08%
2004-06,0%,46.23%,0%,0%,0%,0.12%,0.08%
2004-07,0%,48.16%,0%,0%,0%,0.11%,0.07%
2004-08,0%,50.05%,0%,0%,0%,0.10%,0.08%
2004-09,0%,52.18%,0%,0%,0%,0.11%,0.08%
2004-10,0%,55.97%,0%,0%,0%,0.07%,0.09%
2004-11,0%,57.19%,0%,0%,0%,0.10%,0.08%
2004-12,0%,60.04%,0%,0%,0%,0.08%,0.09%
2005-01,0%,61.55%,0%,0%,0%,0.08%,0.09%
2005-02,0%,63.35%,0%,0%,0%,0.08%,0.09%
2005-03,0%,66.06%,0%,0%,0%,0.06%,0.10%
2005-04,0%,68.09%,0%,0%,0%,0.05%,0.13%
2005-05,0%,69.04%,0%,0%,0%,0.06%,0.21%
2005-06,0%,69.82%,0%,0%,0%,0.07%,0.25%
2005-07,0%,72.42%,0%,0%,0%,0.06%,0.25%
2005-08,0%,73.68%,0%,0%,0%,0.06%,0.26%
2005-09,0%,75.40%,0%,0%,0%,0.06%,0.28%
2005-10,0%,77.68%,0%,0%,0%,0.06%,0.30%
2005-11,0%,78.12%,0%,0%,0%,0.07%,0.31%
2005-12,0%,79.57%,0%,0%,0%,0.06%,0.33%
2006-01,0%,80.54%,0%,0%,0%,0.06%,0.33%
2006-02,0%,81.53%,0%,0%,0%,0.05%,0.33%
2006-03,0%,83.18%,0%,0%,0%,0.05%,0.35%
2006-04,0%,84.84%,0%,0%,0%,0.04%,0.34%
2006-05,0%,85.34%,0%,0%,0%,0.04%,0.36%
2006-06,0%,86%,0%,0%,0%,0.05%,0.36%
